10 55 [array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([1, 1, 1, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 0])]
10 56 [array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3])]
10 57 [array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 1, 3]), array([1, 1, 0, 3]), array([0, 1, 2, 0])]
10 58 [array([1, 1, 0, 3]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 0])]
10 59 [array([1, 1, 0, 4]), array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
10 60 [array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1])]
10 61 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 0])]
10 62 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([0, 2, 0, 0])]
10 63 [array([2, 0, 3, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 2, 0, 0])]
10 64 [array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 3]), array([0, 2, 0, 0])]
10 65 [array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
10 66 [array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([0, 2, 0, 0])]
10 67 [array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0])]
10 68 [array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 3])]
10 69 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([2, 0, 3, 0])]
10 70 [array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 2])]
10 71 [array([2, 0, 3, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([0, 1, 2, 0])]
10 72 [array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([0, 1, 2, 0])]
10 73 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 4])]
10 74 [array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([2, 0, 3, 0])]
10 75 [array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 0])]
10 76 [array([1, 1, 0, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0])]
10 77 [array([1, 1, 0, 2]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
10 78 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 4])]
10 79 [array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
10 80 [array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1])]
10 81 [array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3])]
10 82 [array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
10 83 [array([1, 1, 0, 2]), array([2, 0, 3, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([0, 2, 0, 0])]
10 84 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([1, 1, 0, 4])]
10 85 [array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([0, 1, 2, 0])]
10 86 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
10 87 [array([1, 1, 0, 0]), array([1, 1, 1, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([2, 0, 3, 1])]
10 88 [array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([0, 1, 2, 0])]
10 89 [array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([1, 1, 0, 0])]
10 90 [array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 2]), array([0, 1, 2, 0])]
10 91 [array([0, 1, 2, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([1, 1, 0, 0])]
10 92 [array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 2, 0, 0])]
10 93 [array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1])]
10 94 [array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([2, 0, 1, 3]), array([0, 2, 0, 0])]
10 95 [array([1, 1, 0, 3]), array([2, 0, 1, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
10 96 [array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0])]
10 97 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
10 98 [array([1, 1, 0, 4]), array([1, 1, 0, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
10 99 [array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 2])]
11 0 [array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 0])]
11 1 [array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
11 2 [array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0])]
11 3 [array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
11 4 [array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 0])]
11 5 [array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
11 6 [array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
11 7 [array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 2])]
11 8 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3])]
11 9 [array([0, 1, 2, 0]), array([1, 0, 1, 1]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
11 10 [array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 0, 1, 1]), array([0, 1, 2, 0])]
11 11 [array([1, 1, 0, 3]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0])]
11 12 [array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([1, 1, 0, 3])]
11 13 [array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 4])]
11 14 [array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 1, 3])]
11 15 [array([1, 1, 0, 0]), array([2, 0, 0, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3])]
11 16 [array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([1, 1, 0, 2]), array([0, 2, 0, 0])]
11 17 [array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 3])]
11 18 [array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 1])]
11 19 [array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 2])]
11 20 [array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([2, 0, 3, 1])]
11 21 [array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 4])]
11 22 [array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1])]
11 23 [array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([0, 1, 2, 0])]
11 24 [array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([2, 0, 0, 2])]
11 25 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 1, 2, 0])]
11 26 [array([1, 1, 0, 0]), array([2, 0, 1, 3]), array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([0, 1, 2, 0])]
11 27 [array([0, 1, 2, 0]), array([0, 2, 0, 0]), array([2, 0, 1, 3]), array([1, 1, 0, 0]), array([2, 0, 3, 0])]
11 28 [array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 2])]
11 29 [array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([1, 1, 0, 2])]
11 30 [array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([2, 0, 0, 4]), array([2, 0, 3, 0])]
11 31 [array([2, 0, 3, 1]), array([1, 1, 0, 4]), array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([2, 0, 3, 0])]
11 32 [array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 0])]
11 33 [array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([2, 0, 3, 1])]
11 34 [array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([1, 0, 1, 1]), array([0, 2, 0, 0]), array([2, 0, 3, 0])]
11 35 [array([0, 2, 0, 0]), array([1, 0, 1, 1]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 1, 2, 0])]
11 36 [array([1, 1, 0, 2]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([0, 1, 2, 0])]
11 37 [array([1, 1, 0, 0]), array([1, 1, 0, 2]), array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3])]
11 38 [array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 2, 0, 0])]
11 39 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0])]
11 40 [array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3])]
11 41 [array([2, 0, 3, 1]), array([1, 1, 0, 2]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3])]
11 42 [array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([1, 1, 0, 4])]
11 43 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([0, 1, 2, 0])]
11 44 [array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([1, 0, 0, 2]), array([1, 1, 0, 3]), array([1, 1, 0, 4])]
11 45 [array([1, 1, 0, 3]), array([1, 1, 0, 4]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 0])]
11 46 [array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 4])]
11 47 [array([1, 1, 0, 4]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0])]
11 48 [array([0, 1, 2, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1])]
11 49 [array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([2, 0, 3, 0])]
11 50 [array([2, 0, 3, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([0, 2, 0, 0])]
11 51 [array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
11 52 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([0, 1, 2, 0])]
11 53 [array([2, 0, 3, 1]), array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([0, 2, 0, 0])]
11 54 [array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 4]), array([0, 2, 0, 0])]
11 55 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
11 56 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3]), array([2, 0, 3, 0]), array([1, 1, 0, 0])]
11 57 [array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([2, 0, 1, 3])]
11 58 [array([2, 0, 1, 3]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 3])]
11 59 [array([1, 1, 0, 0]), array([2, 0, 1, 3]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([0, 2, 0, 0])]
11 60 [array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 0, 1, 1]), array([1, 1, 0, 0]), array([2, 0, 3, 1])]
11 61 [array([1, 0, 1, 1]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([2, 0, 3, 1])]
11 62 [array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1])]
11 63 [array([0, 1, 2, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1])]
11 64 [array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
11 65 [array([2, 0, 1, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
11 66 [array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([0, 2, 0, 0])]
11 67 [array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0])]
11 68 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
11 69 [array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([1, 1, 0, 4])]
11 70 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
11 71 [array([0, 1, 2, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1])]
11 72 [array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
11 73 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1])]
11 74 [array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 0]), array([0, 2, 0, 0])]
11 75 [array([1, 1, 0, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 4])]
11 76 [array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 0])]
11 77 [array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0])]
11 78 [array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
11 79 [array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1])]
11 80 [array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1])]
11 81 [array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 4])]
11 82 [array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([1, 0, 1, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
11 83 [array([2, 0, 2, 1]), array([1, 1, 0, 4]), array([1, 1, 0, 2]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
11 84 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([2, 0, 3, 1])]
11 85 [array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
11 86 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([2, 0, 3, 0])]
11 87 [array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
11 88 [array([2, 0, 3, 0]), array([0, 1, 0, 2]), array([1, 1, 4, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 3])]
11 89 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
11 90 [array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
11 91 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0])]
11 92 [array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3]), array([1, 1, 0, 2])]
11 93 [array([2, 0, 1, 3]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0])]
11 94 [array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([0, 2, 0, 0])]
11 95 [array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([2, 0, 3, 1])]
11 96 [array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 1, 3])]
11 97 [array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 3, 1]), array([1, 1, 0, 3])]
11 98 [array([1, 1, 0, 2]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
11 99 [array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3]), array([1, 1, 0, 2])]
12 0 [array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 0])]
12 1 [array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
12 2 [array([1, 1, 0, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0])]
12 3 [array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
12 4 [array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 0])]
12 5 [array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
12 6 [array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
12 7 [array([2, 0, 3, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 2])]
12 8 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([2, 0, 1, 3])]
12 9 [array([0, 1, 2, 0]), array([1, 0, 1, 1]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
12 10 [array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([2, 0, 3, 1])]
12 11 [array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 1])]
12 12 [array([1, 1, 0, 4]), array([1, 1, 0, 2]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0])]
12 13 [array([2, 0, 3, 1]), array([0, 2, 0, 4]), array([1, 1, 0, 4]), array([1, 1, 0, 2]), array([2, 0, 3, 0])]
12 14 [array([1, 1, 0, 4]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 3])]
12 15 [array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 3])]
12 16 [array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 1, 2, 0])]
12 17 [array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 4]), array([0, 1, 2, 0]), array([2, 0, 3, 0])]
12 18 [array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 3])]
12 19 [array([1, 1, 0, 2]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3])]
12 20 [array([2, 0, 3, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 0, 0])]
12 21 [array([1, 1, 0, 2]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 4]), array([0, 2, 0, 0])]
12 22 [array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1])]
12 23 [array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1])]
12 24 [array([1, 1, 0, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 2]), array([2, 0, 3, 0]), array([0, 2, 0, 0])]
12 25 [array([1, 1, 0, 3]), array([0, 2, 0, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 2])]
12 26 [array([1, 1, 0, 3]), array([0, 1, 2, 0]), array([1, 1, 0, 2]), array([0, 2, 0, 0]), array([2, 0, 3, 0])]
12 27 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 2])]
12 28 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 3]), array([2, 0, 3, 0])]
12 29 [array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 4]), array([0, 2, 0, 0])]
12 30 [array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 2]), array([1, 1, 0, 3]), array([0, 2, 0, 0])]
12 31 [array([0, 2, 0, 0]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([1, 1, 0, 2]), array([0, 1, 2, 0])]
12 32 [array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([1, 1, 0, 3])]
12 33 [array([2, 0, 3, 1]), array([1, 1, 0, 3]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([0, 2, 0, 0])]
12 34 [array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
12 35 [array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([1, 1, 0, 3]), array([0, 1, 1, 0]), array([0, 1, 2, 0])]
12 36 [array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 3, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 3])]
12 37 [array([1, 1, 0, 3]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([0, 2, 0, 0])]
12 38 [array([2, 0, 3, 0]), array([0, 2, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 4]), array([1, 1, 0, 3])]
