0 63 [array([0, 2, 0, 1]), array([0, 2, 3, 0]), array([2, 0, 1, 3]), array([1, 1, 1, 2]), array([0, 2, 2, 0])]
0 64 [array([0, 0, 1, 1]), array([2, 0, 1, 0]), array([0, 1, 0, 0]), array([1, 1, 1, 0]), array([0, 2, 3, 1])]
0 65 [array([0, 2, 0, 0]), array([2, 0, 0, 3]), array([2, 0, 0, 4]), array([2, 0, 1, 2]), array([1, 0, 1, 1])]
0 66 [array([1, 1, 0, 3]), array([2, 0, 4, 0]), array([0, 1, 1, 1]), array([1, 0, 0, 2]), array([0, 2, 4, 0])]
0 67 [array([1, 1, 0, 3]), array([0, 2, 1, 1]), array([1, 1, 2, 0]), array([2, 0, 1, 1]), array([2, 0, 0, 2])]
0 68 [array([2, 0, 3, 0]), array([1, 1, 1, 0]), array([0, 2, 1, 0]), array([2, 0, 1, 0]), array([1, 1, 2, 2])]
0 69 [array([0, 1, 1, 0]), array([1, 1, 1, 2]), array([0, 2, 3, 1]), array([0, 2, 3, 0]), array([2, 0, 1, 2])]
0 70 [array([1, 1, 0, 1]), array([0, 2, 3, 1]), array([0, 2, 1, 2]), array([1, 0, 0, 0]), array([0, 2, 4, 0])]
0 71 [array([0, 1, 0, 0]), array([0, 0, 0, 1]), array([0, 1, 0, 2]), array([1, 1, 0, 3]), array([1, 0, 0, 0])]
0 72 [array([1, 1, 2, 0]), array([2, 0, 0, 0]), array([2, 0, 3, 1]), array([1, 0, 0, 1]), array([2, 0, 1, 2])]
0 73 [array([2, 0, 0, 0]), array([1, 1, 1, 3]), array([2, 0, 1, 0]), array([0, 2, 3, 0]), array([0, 0, 2, 0])]
0 74 [array([0, 1, 1, 0]), array([0, 0, 0, 2]), array([2, 0, 0, 0]), array([1, 1, 0, 1]), array([0, 2, 3, 1])]
0 75 [array([1, 0, 1, 1]), array([1, 0, 0, 0]), array([0, 0, 0, 2]), array([0, 0, 0, 1]), array([2, 0, 1, 1])]
