# Time alpha-glucose beta-glucose O2 delta-glucose H2O2
1.504000000000000000e+04 3.936870305650583268e-03 4.022364234962177813e-03 7.959234540612702968e-03 4.920407654593873525e-01 4.920407654593873525e-01
1.506000000000000000e+04 3.926359637785792854e-03 4.015086052399851994e-03 7.941445690185585868e-03 4.920585543098144332e-01 4.920585543098144332e-01
1.508000000000000000e+04 3.915896708632897461e-03 4.007832224176862204e-03 7.923728932809700684e-03 4.920762710671903184e-01 4.920762710671903184e-01
1.510000000000000000e+04 3.905480856376447422e-03 4.000603158248154309e-03 7.906084014624541884e-03 4.920939159853754963e-01 4.920939159853754963e-01
1.512000000000000000e+04 3.895111414069436437e-03 3.993399274234013009e-03 7.888510688303391333e-03 4.921114893116966260e-01 4.921114893116966260e-01
1.514000000000000000e+04 3.884787709633300695e-03 3.986221003420060971e-03 7.871008713053302686e-03 4.921289912869467598e-01 4.921289912869467598e-01
1.516000000000000000e+04 3.874509065857921052e-03 3.979068788757255358e-03 7.853577854615116996e-03 4.921464221453848986e-01 4.921464221453848986e-01
1.518000000000000000e+04 3.864274800401619556e-03 3.971943084861893902e-03 7.836217885263454044e-03 4.921637821147366032e-01 4.921637821147366032e-01
1.520000000000000000e+04 3.854084225791164220e-03 3.964844358015609700e-03 7.818928583806714072e-03 4.921810714161933276e-01 4.921810714161933276e-01
1.522000000000000000e+04 3.843936649421765116e-03 3.957773086165372947e-03 7.801709735587079517e-03 4.921982902644129743e-01 4.921982902644129743e-01
1.524000000000000000e+04 3.833831373557075248e-03 3.950729758923493540e-03 7.784561132480509807e-03 4.922154388675195058e-01 4.922154388675195058e-01
1.526000000000000000e+04 3.823767695329191411e-03 3.943714877567615004e-03 7.767482572896748302e-03 4.922325174271032777e-01 4.922325174271032777e-01
1.528000000000000000e+04 3.813744906738653767e-03 3.936728955040721435e-03 7.750473861779317089e-03 4.922495261382207055e-01 4.922495261382207055e-01
1.530000000000000000e+04 3.803762294654446270e-03 3.929772515951132292e-03 7.733534810605520449e-03 4.922664651893945420e-01 4.922664651893945420e-01
1.532000000000000000e+04 3.793819140813995371e-03 3.922846096572504132e-03 7.716665237386441389e-03 4.922833347626136002e-01 4.922833347626136002e-01
1.534000000000000000e+04 3.783914721823171748e-03 3.915950244843832348e-03 7.699864966666945983e-03 4.923001350333330861e-01 4.923001350333330861e-01
1.536000000000000000e+04 3.774048309156288143e-03 3.909085520369448563e-03 7.683133829525679026e-03 4.923168661704743765e-01 4.923168661704743765e-01
1.538000000000000000e+04 3.764219169156101958e-03 3.902252494419022801e-03 7.666471663575066646e-03 4.923335283364249637e-01 4.923335283364249637e-01
1.540000000000000000e+04 3.754426563033813960e-03 3.895451749927560017e-03 7.649878312961315430e-03 4.923501216870387331e-01 4.923501216870387331e-01
1.542000000000000000e+04 3.744669792775569533e-03 3.888683809603365234e-03 7.633353602378875787e-03 4.923666463976211771e-01 4.923666463976211771e-01
1.544000000000000000e+04 3.734951690080355515e-03 3.881943707195456388e-03 7.616895397275753356e-03 4.923831046027242753e-01 4.923831046027242753e-01
1.546000000000000000e+04 3.725274277711539735e-03 3.875227855374734770e-03 7.600502133086215958e-03 4.923994978669138378e-01 4.923994978669138378e-01
1.548000000000000000e+04 3.715637541978714011e-03 3.868535877986829710e-03 7.584173419965484740e-03 4.924158265800345213e-01 4.924158265800345213e-01
1.550000000000000000e+04 3.706041465927587073e-03 3.861867404802326372e-03 7.567908870729854465e-03 4.924320911292701664e-01 4.924320911292701664e-01
1.552000000000000000e+04 3.696486029339982830e-03 3.855222071516769232e-03 7.551708100856692647e-03 4.924482918991433533e-01 4.924482918991433533e-01
1.554000000000000000e+04 3.686971208733839499e-03 3.848599519750660336e-03 7.535570728484440421e-03 4.924644292715155691e-01 4.924644292715155691e-01
1.556000000000000000e+04 3.677496977363210913e-03 3.841999397049458871e-03 7.519496374412610804e-03 4.924805036255874291e-01 4.924805036255874291e-01
1.558000000000000000e+04 3.668063305218267813e-03 3.835421356883583332e-03 7.503484662101792164e-03 4.924965153378982330e-01 4.924965153378982330e-01
1.560000000000000000e+04 3.658670159025293519e-03 3.828865058648408485e-03 7.487535217673643023e-03 4.925124647823264090e-01 4.925124647823264090e-01
1.562000000000000000e+04 3.649317502246689129e-03 3.822330167664267538e-03 7.471647669910897252e-03 4.925283523300891253e-01 4.925283523300891253e-01
1.564000000000000000e+04 3.640005295080969618e-03 3.815816355176451270e-03 7.455821650257361474e-03 4.925441783497426784e-01 4.925441783497426784e-01
1.566000000000000000e+04 3.630733494462765575e-03 3.809323298355209338e-03 7.440056792817915932e-03 4.925599432071821049e-01 4.925599432071821049e-01
1.568000000000000000e+04 3.621502054062823196e-03 3.802850680295747233e-03 7.424352734358511882e-03 4.925756472656415141e-01 4.925756472656415141e-01
1.570000000000000000e+04 3.612310924288003860e-03 3.796398190018230624e-03 7.408709114306175070e-03 4.925912908856938666e-01 4.925912908856938666e-01
1.572000000000000000e+04 3.603160052281284120e-03 3.789965522467780585e-03 7.393125574749005724e-03 4.926068744252510290e-01 4.926068744252510290e-01
1.574000000000000000e+04 3.594049381921756142e-03 3.783552378514478363e-03 7.377601760436175091e-03 4.926223982395638301e-01 4.926223982395638301e-01
1.576000000000000000e+04 3.584978853824627269e-03 3.777158464953361047e-03 7.362137318777928902e-03 4.926378626812221162e-01 4.926378626812221162e-01
1.578000000000000000e+04 3.575948405341219591e-03 3.770783494504424595e-03 7.346731899845585639e-03 4.926532681001544733e-01 4.926532681001544733e-01
1.580000000000000000e+04 3.566957970558971239e-03 3.764427185812622978e-03 7.331385156371534803e-03 4.926686148436285051e-01 4.926686148436285051e-01
1.582000000000000000e+04 3.558007480301435960e-03 3.758089263447866868e-03 7.316096743749243847e-03 4.926839032562507770e-01 4.926839032562507770e-01
1.584000000000000000e+04 3.549096862128281373e-03 3.751769457905026247e-03 7.300866320033248640e-03 4.926991336799667609e-01 4.926991336799667609e-01
1.586000000000000000e+04 3.540226040335292448e-03 3.745467505603927369e-03 7.285693545939160402e-03 4.927143064540608908e-01 4.927143064540608908e-01
1.588000000000000000e+04 3.531394935954367161e-03 3.739183148889355796e-03 7.270578084843663975e-03 4.927294219151563959e-01 4.927294219151563959e-01
1.590000000000000000e+04 3.522603466753520835e-03 3.732916136031053794e-03 7.255519602784515215e-03 4.927444803972155229e-01 4.927444803972155229e-01
1.592000000000000000e+04 3.513851547236883106e-03 3.726666221223721639e-03 7.240517768460546198e-03 4.927594822315394807e-01 4.927594822315394807e-01
1.594000000000000000e+04 3.505139088644698784e-03 3.720433164587018046e-03 7.225572253231658283e-03 4.927744277467683842e-01 4.927744277467683842e-01
1.596000000000000000e+04 3.496465998953328727e-03 3.714216732165559302e-03 7.210682731118829049e-03 4.927893172688811996e-01 4.927893172688811996e-01
1.598000000000000000e+04 3.487832182875248536e-03 3.708016695928918836e-03 7.195848878804107958e-03 4.928041511211959103e-01 4.928041511211959103e-01
1.600000000000000000e+04 3.479237541859048991e-03 3.701832833771628514e-03 7.181070375630618959e-03 4.928189296243694062e-01 4.928189296243694062e-01
1.602000000000000000e+04 3.470681974089436916e-03 3.695664929513178213e-03 7.166346903602556148e-03 4.928336530963974838e-01 4.928336530963974838e-01
1.604000000000000000e+04 3.462165374487233445e-03 3.689512772898014947e-03 7.151678147385189845e-03 4.928483218526148457e-01 4.928483218526148457e-01
1.606000000000000000e+04 3.453687634709376193e-03 3.683376159595544604e-03 7.137063794304861382e-03 4.928629362056951568e-01 4.928629362056951568e-01
1.608000000000000000e+04 3.445248643148916649e-03 3.677254891200129345e-03 7.122503534348987447e-03 4.928774964656510438e-01 4.928774964656510438e-01
1.610000000000000000e+04 3.436848284935023652e-03 3.671148775231090639e-03 7.107997060166055744e-03 4.928920029398339842e-01 4.928920029398339842e-01
1.612000000000000000e+04 3.428486441932979047e-03 3.665057625132707095e-03 7.093544067065627595e-03 4.929064559329344175e-01 4.929064559329344175e-01
1.614000000000000000e+04 3.420162992744181594e-03 3.658981260274215327e-03 7.079144253018337940e-03 4.929208557469816898e-01 4.929208557469816898e-01
1.616000000000000000e+04 3.411877812706145228e-03 3.652919505949809090e-03 7.064797318655895338e-03 4.929352026813441645e-01 4.929352026813441645e-01
1.618000000000000000e+04 3.403630773892497765e-03 3.646872193378641012e-03 7.050502967271079363e-03 4.929494970327289449e-01 4.929494970327289449e-01
1.620000000000000000e+04 3.395421745112984363e-03 3.640839159704820863e-03 7.036260904817746679e-03 4.929637390951822629e-01 4.929637390951822629e-01
1.622000000000000000e+04 3.387250591913464060e-03 3.634820247997416851e-03 7.022070839910821496e-03 4.929779291600892011e-01 4.929779291600892011e-01
1.624000000000000000e+04 3.379117176575912370e-03 3.628815307250453891e-03 7.007932483826306846e-03 4.929920675161737487e-01 4.929920675161737487e-01
1.626000000000000000e+04 3.371021358118418253e-03 3.622824192382916204e-03 6.993845550501275043e-03 4.930061544494987458e-01 4.930061544494987458e-01
1.628000000000000000e+04 3.362962992295188448e-03 3.616846764238743853e-03 6.979809756533873755e-03 4.930201902434661609e-01 4.930201902434661609e-01
1.630000000000000000e+04 3.354941931596542703e-03 3.610882889586837508e-03 6.965824821183320796e-03 4.930341751788167026e-01 4.930341751788167026e-01
1.632000000000000000e+04 3.346958025248917678e-03 3.604932441121052808e-03 6.951890466369911072e-03 4.930481095336300967e-01 4.930481095336300967e-01
1.634000000000000000e+04 3.339011119214864778e-03 3.598995297460204704e-03 6.938006416675010501e-03 4.930619935833250311e-01 4.930619935833250311e-01
